Country|Location|Country_ID_for_study|Continent_or_Island|Citation|PMID_or_DOI|Year_published|Collected|CohortCharacteristics|Size_of_cohort|Size_of_cohort_ext|Age_of_cohort|Anti-HBc_and_HBsAg negative_prevalence |Estimated_susceptible_population|African_Region|Anti-Hbc_prevalence|HbsAg_prevalence|Anti-Hbc_HbsAg_ratio|Country_agg|Anti-Hbc_prevalence_country|HbsAg_prevalence_country|Estimated_susceptible_population_country|HbcAb_includes_HBsAg|Study_Weight|Number
Algeria||Algeria|Continent|||||||||||North||||Algeria||||||
Angola|Luanda|Angola|Continent|Mem Inst Oswaldo Cruz. 2010 Dec;105(8):970-7.|PMID: 21225192|2010|NK|Hospital visitors|508|508|Median 34|64.6|20.3|Central|0.8|0.15|5.28|Angola|79.7|15.1|20.3|Yes|100|1
Benin|Cotonou|Benin 1|Continent|J Hepatol. 2008 Apr;48(4):532-9.|DOI: 10.1016/j.jhep.2007.11.017|2008|NK|Hospital trial, healthy volunteers|305|305|Mean 26.9  |67.53|24.6|West|0.75|0.08|9.58|Benin|78.91|11.54|21.09|Yes |51.87|0.52
Benin|Atacora District|Benin 2|Continent|J Med Virol. 2014 Aug;86(8):1281-7|DOI: 10.1002/jmv.23951|2014|2011|Antenatal |283|283|Mean 26.2|67.2|17.3|West|0.83|0.16|5.34|||||Yes|48.13|0.48
Botswana|Gaberone|Botswana|Continent|Open Forum Infect Dis. 2016 Aug 16;3(3):ofw140.|DOI: 10.1093/ofid/ofw140|2016|NK|HIV positive|295|295|Median 36 .0|24.7|66|South|0.34|0.09|3.66|Botswana|34|9.3|66|Yes|100|1
Burkina Faso|Bobo Dioulasso|Burkina Faso 1|Continent|Med Mal Infect. 2013 May;43(5):202-7|DOI: 10.1016/j.medmal.2013.04.001|2013|2008|HIV positive|996|996|Median 38.0|70.5|16.7|West|0.83|0.13|6.51|Burkina Faso|79.62|13.79|20.38|Yes|65.4|0.65
Burkina Faso|Ouagadougou|Burkina Faso 2|Continent|J Med Virol. 2006 May;78(5):683-92.|DOI: 10.1002/jmv.20593|2006|2003-04|Blood donors, antenatal|238|238|Mean 25.7|59.1|23.6|West|0.76|0.17|4.42|||||Yes|15.63|0.16
Burkina Faso|Nouna|Burkina Faso 3|Continent|J Med Virol. 2006 May;78(5):683-92.|DOI: 10.1002/jmv.20593|2006|2003-04|Blood donors, antenatal|289|289|Mean 25.3|55.3|30.4|West|0.7|0.14|4.87|||||Yes|18.98|0.19
Burundi||Burundi|Continent|||||||||||East||||Burundi||||||
Cape Verde||Cape Verde|Island|||||||||||West||||Cape Verde||||||
Cameroon|Mvog-Ada|Cameroon 1|Continent|BMC Public Health. 2016 Aug 3;15:706.|DOI: 10.1186/s12889-016-3388-z.|2016|NK|Healthcare workers|100|100|Mean 30.5 |18|71|Central|0.29|0.11|2.64|Cameroon|53.78|14.68|46.22|Yes|7.06|0.07
Cameroon|Yaounde|Cameroon 2|Continent|Curr HIV Res. 2016;14(2):165-71.|PMID: 26419862|2016|2010|HIV positive|212|212|Median 37.6 |39.1|49.1|Central|0.51|0.12|4.31|||||Yes|14.96|0.15
Cameroon|Southwest Region|Cameroon 3|Continent|Trans R Soc Trop Med Hyg. 2013 Mar;107(3):158-64|DOI: 10.1093/trstmh/trs087|2013|2011|Healthcare workers|237|237|Median 34.0|67.1|26.6|Central|0.73|0.06|11.65|||||Yes|16.73|0.17
Cameroon|Yaounde|Cameroon 4|Continent|HIV Medicine (2010), 11 , 85–89|DOI: 10.1111/j.1468-1293.2009.00742.x|2009|2001-2003|HIV positive|169|169|Median 35.0|71.6|18.3|Central|0.82|0.1|8.09|||||Yes|11.93|0.12
