"","x"
"1","Angola, Luanda"
"2","Benin, Cotonou"
"3","Benin, Atacora District"
"4","Botswana, Gaberone"
"5","Burkina Faso, Bobo Dioulasso"
"6","Burkina Faso, Ouagadougou"
"7","Burkina Faso, Nouna"
"8","Cameroon, Mvog-Ada"
"9","Cameroon, Yaoundé"
"10","Cameroon, Southwest Region"
"11","Cameroon, South West and Littoral regions"
"12","Central African Republic"
"13","Central African Republic, Bangui"
"14","Cote d'Ivoire, Grand Bassam"
"15","Cote d'Ivoire"
"16","Cote d'Ivoire, Abidjan"
"17","Cote d'Ivoire, Valley of Bandarna-Bouake"
"18","Egypt, Tanta City"
"19","Equatorial Guinea"
"20","Eritrea, Massawa"
"21","Ethiopia, Addis Ababa"
"22","Ethiopia, Hawassa"
"23","Gabon, Haut Ogooue Province"
"24","Gabon, Franceville"
"25","Gabon, Libreville"
"26","Gambia"
"27","Guinea-Bissau, Bissau"
"28","Kenya"
"29","Kenya, Coastal Kenya"
"30","Lesotho, Mafeteng Government Hospital"
"31","Libya, Eastern Libya"
"32","Libya, Tripoli"
"33","Madagascar, Mataipako and Sirama"
"34","Malawi, Lilongwe"
"35","Mauritania, Nouakchott"
"36","Morocco, Rabat, Taza, Temara–Skhirat"
"37","Morocco, Rabat"
"38","Mozambique, Maputo region"
"39","Namibia, West Caprivi"
"40","Niger, Niamey"
"41","Nigeria"
"42","Nigeria, Lagos"
"43","Nigeria, Ibadan"
"44","Nigeria, Benue"
"45","Reunion, Reunion"
"46","Rwanda, Kigali"
"47","Rwanda"
"48","Senegal, Dakar"
"49","Somalia, Mogadishu"
"50","Somalia"
"51","South Africa, Gauteng and Mpumalanga province"
"52","South Africa, Tshwane District Hospital, Pretoria, Gauteng province"
"53","South Africa, Johannesburg"
"54","South Africa, Medunsa Campus"
"55","South Africa, Limpopo"
"56","South Africa, Schmidtsdrift"
"57","South Africa, University of Limpopo Hosptial"
"58","South Africa, Soweto"
"59","Sudan, Khartoum State"
"60","Sudan, Khartoum"
"61","Sudan, Gezira state"
"62","Tanzania, Mwanza"
"63","Tanzania, Pemba Island and Iringa"
"64","Togo, Lome"
"65","Tunisia, Sousse"
"66","Tunisia, Béja and Tataouine"
"67","Tunisia, l’hôpital Aziza-Othmana"
"68","Uganda, Kampala and Entebbe"
"69","Uganda, Kitgum District"
"70","Uganda, Gulu Municipality"
"71","Uganda, Mulago"
"72","Uganda"
"73","Uganda, Raki"
"74","Uganda, Makerere"
"75","Zambia, Lusaka"
"76","Zimbabwe, Harare"
